labels,start,stop
speech,0.0,5.1000000000000005
speech,5.1000000000000005,10.76
music,10.76,12.1
music,12.1,43.06
speech,43.06,45.36
music,45.36,47.62
speech,47.62,57.96
music,57.96,59.7
speech,59.7,64.28
music,64.28,65.98
speech,65.98,71.04
music,71.04,77.92
speech,77.92,87.3
music,87.3,89.28
speech,89.28,110.46
music,110.46,124.68
speech,124.68,132.74
music,132.74,134.08
speech,134.08,143.98
music,143.98,146.36
speech,146.36,151.64
music,151.64,159.48
music,159.48,161.48
music,161.48,163.46
music,163.46,165.5
music,165.5,294.40000000000003
speech,294.40000000000003,296.32
speech,296.32,303.02
speech,303.02,304.12
speech,304.12,307.76
speech,307.76,309.96
speech,309.96,311.40000000000003
speech,311.40000000000003,312.88
speech,312.88,317.18
speech,317.18,318.3
speech,318.3,319.7
speech,319.7,324.1
speech,324.1,326.2
speech,326.2,328.1
speech,328.1,331.26
speech,331.26,333.5
speech,333.5,335.56
speech,335.56,343.90000000000003
speech,343.90000000000003,355.58
speech,355.58,361.92
music,361.92,365.44
speech,365.44,378.78
music,378.78,396.2
speech,396.2,415.56
speech,415.56,435.32
speech,435.32,456.0
music,456.0,464.6
speech,464.6,473.96
music,473.96,475.74
speech,475.74,495.72
music,495.72,647.04
music,647.04,845.6
speech,845.6,847.3000000000001
speech,847.3000000000001,848.9200000000001
speech,848.9200000000001,852.28
speech,852.28,855.3000000000001
speech,855.3000000000001,860.22
speech,860.22,863.08
speech,863.08,868.66
speech,868.66,872.2
speech,872.2,876.4200000000001
speech,876.4200000000001,878.1
speech,878.1,881.1800000000001
speech,881.1800000000001,886.2
speech,886.2,889.3000000000001
speech,889.3000000000001,893.14
speech,893.14,895.2
speech,895.2,897.9
speech,897.9,902.14
speech,902.14,905.84
speech,905.84,908.46
speech,908.46,912.54
speech,912.54,914.8
speech,914.8,916.78
speech,916.78,918.72
speech,918.72,921.32
speech,921.32,923.86
speech,923.86,928.08
speech,928.08,930.78
speech,930.78,933.52
speech,933.52,935.62
speech,935.62,938.62
speech,938.62,941.2
speech,941.2,944.2
speech,944.2,946.18
speech,946.18,948.66
speech,948.66,951.48
speech,951.48,952.88
speech,952.88,955.52
speech,955.52,958.4
speech,958.4,960.02
speech,960.02,960.8
speech,960.8,964.28
speech,964.28,968.24
speech,968.24,969.38
speech,969.38,971.04
speech,971.04,972.4
music,972.4,1210.22
music,1210.22,1459.98
speech,1459.98,1462.74
speech,1462.74,1465.3
speech,1465.3,1469.16
speech,1469.16,1471.62
speech,1471.62,1472.54
speech,1472.54,1474.64
speech,1474.64,1475.8
speech,1475.8,1478.78
speech,1478.78,1482.92
speech,1482.92,1484.56
speech,1484.56,1488.82
speech,1488.82,1493.76
speech,1493.76,1497.0
speech,1497.0,1498.04
speech,1498.04,1500.52
speech,1500.52,1502.4
speech,1502.4,1505.36
speech,1505.36,1509.32
speech,1509.32,1510.88
speech,1510.88,1512.22
speech,1512.22,1514.84
speech,1514.84,1516.86
speech,1516.86,1517.86
speech,1517.86,1520.34
speech,1520.34,1526.94
speech,1526.94,1531.16
speech,1531.16,1534.68
speech,1534.68,1536.12
speech,1536.12,1540.42
speech,1540.42,1546.16
speech,1546.16,1550.88
speech,1550.88,1553.98
music,1553.98,1719.98
music,1719.98,1724.38
music,1724.38,1745.76
speech,1745.76,1749.72
music,1749.72,1751.84
speech,1751.84,1765.1
music,1765.1,1785.26
speech,1785.26,1805.32
music,1805.32,1809.38
music,1809.38,1815.34
speech,1815.34,1871.1
music,1871.1,1877.46
music,1877.46,1896.28
speech,1896.28,1897.86
music,1897.86,2154.7
speech,2154.7,2156.24
music,2156.24,2157.58
speech,2157.58,2162.86
speech,2162.86,2165.94
speech,2165.94,2169.2
speech,2169.2,2173.74
speech,2173.74,2176.98
speech,2176.98,2181.34
speech,2181.34,2185.16
speech,2185.16,2187.36
speech,2187.36,2193.8
speech,2193.8,2195.02
speech,2195.02,2200.36
speech,2200.36,2204.12
speech,2204.12,2205.06
speech,2205.06,2206.48
speech,2206.48,2209.32
speech,2209.32,2211.58
speech,2211.58,2213.82
speech,2213.82,2217.78
speech,2217.78,2221.42
speech,2221.42,2223.48
speech,2223.48,2227.06
speech,2227.06,2229.92
speech,2229.92,2231.82
speech,2231.82,2234.06
speech,2234.06,2237.3
speech,2237.3,2241.56
speech,2241.56,2242.84
speech,2242.84,2245.46
music,2245.46,2692.68
speech,2692.68,2697.3
speech,2697.3,2698.44
speech,2698.44,2699.36
speech,2699.36,2701.3
speech,2701.3,2704.86
speech,2704.86,2707.7000000000003
speech,2707.7000000000003,2710.48
speech,2710.48,2713.98
speech,2713.98,2716.58
speech,2716.58,2718.34
speech,2718.34,2721.66
speech,2721.66,2727.32
speech,2727.32,2729.78
speech,2729.78,2731.64
speech,2731.64,2736.56
speech,2736.56,2739.0
speech,2739.0,2740.24
speech,2740.24,2743.76
speech,2743.76,2751.98
speech,2751.98,2754.82
speech,2754.82,2759.26
speech,2759.26,2761.98
speech,2761.98,2764.6
speech,2764.6,2767.12
speech,2767.12,2769.44
speech,2769.44,2770.94
music,2770.94,3038.34
speech,3038.34,3066.1
speech,3066.1,3098.86
speech,3098.86,3103.88
music,3103.88,3112.4
speech,3112.4,3118.1
speech,3118.1,3141.28
music,3141.28,3150.98
speech,3150.98,3157.52
music,3157.52,3158.62
speech,3158.62,3179.06
music,3179.06,3185.4
speech,3185.4,3188.24
speech,3188.24,3194.06
music,3194.06,3366.94
speech,3366.94,3371.02
speech,3371.02,3411.94
music,3411.94,3414.64
speech,3414.64,3419.74
music,3419.74,3427.08
speech,3427.08,3430.7000000000003
music,3430.7000000000003,3433.6
speech,3433.6,3444.94
music,3444.94,3484.84
speech,3484.84,3504.2000000000003
music,3504.2000000000003,3536.56
speech,3536.56,3540.62
music,3540.62,3544.58
speech,3544.58,3564.86
music,3564.86,3605.14
speech,3605.14,3610.28
music,3610.28,3612.04
music,3612.04,3634.04
speech,3634.04,3641.52
music,3641.52,3647.18
speech,3647.18,3650.1
music,3650.1,3651.78
speech,3651.78,3653.98
music,3653.98,3660.38
speech,3660.38,3661.68
music,3661.68,3663.68
speech,3663.68,3668.0
music,3668.0,3670.24
speech,3670.24,3675.04
music,3675.04,3677.42
speech,3677.42,3683.18
music,3683.18,3684.08
speech,3684.08,3686.6
music,3686.6,3726.7
music,3726.7,3861.6
speech,3861.6,3867.16
speech,3867.16,3869.4
speech,3869.4,3874.24
speech,3874.24,3879.34
speech,3879.34,3881.72
speech,3881.72,3883.26
speech,3883.26,3885.78
speech,3885.78,3887.76
speech,3887.76,3889.22
speech,3889.22,3890.96
speech,3890.96,3894.7
speech,3894.7,3898.4
speech,3898.4,3901.4
speech,3901.4,3902.36
speech,3902.36,3903.48
speech,3903.48,3907.88
speech,3907.88,3909.12
speech,3909.12,3910.76
speech,3910.76,3911.72
speech,3911.72,3914.36
speech,3914.36,3916.82
speech,3916.82,3921.04
speech,3921.04,3923.4
speech,3923.4,3925.76
speech,3925.76,3988.14
music,3988.14,4006.54
speech,4006.54,4011.72
music,4011.72,4018.02
speech,4018.02,4027.22
music,4027.22,4045.38
speech,4045.38,4066.78
music,4066.78,4309.24
speech,4309.24,4311.4
speech,4311.4,4315.22
speech,4315.22,4317.76
speech,4317.76,4319.32
speech,4319.32,4321.14
speech,4321.14,4322.9
speech,4322.9,4326.56
speech,4326.56,4328.92
speech,4328.92,4330.3
speech,4330.3,4332.12
speech,4332.12,4333.86
speech,4333.86,4335.62
speech,4335.62,4340.22
speech,4340.22,4341.1
speech,4341.1,4343.6
speech,4343.6,4348.4
speech,4348.4,4350.2
speech,4350.2,4351.68
speech,4351.68,4353.14
speech,4353.14,4354.6
speech,4354.6,4357.52
speech,4357.52,4361.46
speech,4361.46,4362.82
speech,4362.82,4364.0
speech,4364.0,4366.22
speech,4366.22,4369.12
speech,4369.12,4372.0
speech,4372.0,4373.4400000000005
speech,4373.4400000000005,4376.9800000000005
speech,4376.9800000000005,4378.24
speech,4378.24,4381.26
speech,4381.26,4384.34
speech,4384.34,4390.26
speech,4390.26,4394.62
speech,4394.62,4397.0
speech,4397.0,4399.52
speech,4399.52,4402.78
speech,4402.78,4405.2
speech,4405.2,4406.88
speech,4406.88,4408.14
speech,4408.14,4409.5
speech,4409.5,4412.82
speech,4412.82,4414.28
music,4414.28,4519.58
speech,4519.58,4523.08
music,4523.08,4536.38
music,4536.38,4818.82
music,4818.82,4872.86
speech,4872.86,4875.34
speech,4875.34,4879.82
speech,4879.82,4881.9400000000005
speech,4881.9400000000005,4883.4400000000005
speech,4883.4400000000005,4885.54
speech,4885.54,4888.16
speech,4888.16,4890.4800000000005
speech,4890.4800000000005,4892.34
speech,4892.34,4895.72
speech,4895.72,4896.66
speech,4896.66,4901.58
speech,4901.58,4905.92
speech,4905.92,4911.0
speech,4911.0,4912.74
speech,4912.74,4915.34
speech,4915.34,4916.46
speech,4916.46,4918.22
speech,4918.22,4919.64
speech,4919.64,4922.1
speech,4922.1,4922.8
speech,4922.8,4924.42
speech,4924.42,4925.52
speech,4925.52,4926.34
speech,4926.34,4927.38
speech,4927.38,4931.32
speech,4931.32,4934.82
speech,4934.82,4938.52
speech,4938.52,4940.18
speech,4940.18,4942.52
speech,4942.52,4944.5
speech,4944.5,4945.96
speech,4945.96,4947.96
speech,4947.96,4953.06
speech,4953.06,4954.900000000001
music,4954.900000000001,5032.58
music,5032.58,5127.38
music,5127.38,5134.56
music,5134.56,5159.4800000000005
music,5159.4800000000005,5162.36
music,5162.36,5170.14
speech,5170.14,5182.54
music,5182.54,5186.900000000001
speech,5186.900000000001,5204.1
music,5204.1,5208.22
speech,5208.22,5210.32
music,5210.32,5212.68
speech,5212.68,5219.76
music,5219.76,5231.74
speech,5231.74,5234.22
music,5234.22,5320.18
music,5320.18,5324.3
music,5324.3,5345.72
speech,5345.72,5351.78
speech,5351.78,5365.02
music,5365.02,5380.6
speech,5380.6,5400.88
music,5400.88,5403.74
speech,5403.74,5405.02
music,5405.02,5409.3
music,5409.3,5415.3
speech,5415.3,5471.08
music,5471.08,5477.46
music,5477.46,5718.8
speech,5718.8,5725.66
speech,5725.66,5728.9800000000005
speech,5728.9800000000005,5730.7
speech,5730.7,5734.14
speech,5734.14,5738.68
speech,5738.68,5742.62
speech,5742.62,5744.78
speech,5744.78,5746.52
speech,5746.52,5749.74
speech,5749.74,5752.9400000000005
speech,5752.9400000000005,5755.7
speech,5755.7,5758.76
speech,5758.76,5761.28
speech,5761.28,5764.28
speech,5764.28,5770.34
speech,5770.34,5771.88
speech,5771.88,5773.62
speech,5773.62,5775.74
speech,5775.74,5778.86
music,5778.86,5961.12
music,5961.12,5972.900000000001
music,5972.900000000001,6168.3
speech,6168.3,6174.3
speech,6174.3,6175.66
speech,6175.66,6179.32
speech,6179.32,6181.82
speech,6181.82,6185.76
speech,6185.76,6187.66
speech,6187.66,6191.84
speech,6191.84,6194.860000000001
speech,6194.860000000001,6198.14
speech,6198.14,6199.28
speech,6199.28,6201.26
speech,6201.26,6202.860000000001
speech,6202.860000000001,6204.860000000001
speech,6204.860000000001,6206.12
speech,6206.12,6211.24
speech,6211.24,6212.8
speech,6212.8,6214.26
speech,6214.26,6215.52
speech,6215.52,6219.0
speech,6219.0,6222.860000000001
speech,6222.860000000001,6225.3
speech,6225.3,6227.88
speech,6227.88,6230.58
speech,6230.58,6235.08
speech,6235.08,6239.14
speech,6239.14,6240.68
speech,6240.68,6243.400000000001
speech,6243.400000000001,6245.3
speech,6245.3,6246.860000000001
speech,6246.860000000001,6248.42
speech,6248.42,6249.68
speech,6249.68,6252.360000000001
speech,6252.360000000001,6254.24
speech,6254.24,6255.84
speech,6255.84,6257.9400000000005
speech,6257.9400000000005,6260.82
speech,6260.82,6262.5
speech,6262.5,6264.3
speech,6264.3,6266.92
music,6266.92,6560.7
speech,6560.7,6562.76
speech,6562.76,6565.8
speech,6565.8,6592.46
music,6592.46,6595.1
speech,6595.1,6600.76
speech,6600.76,6621.04
music,6621.04,6622.72
speech,6622.72,6627.9400000000005
music,6627.9400000000005,6631.0
speech,6631.0,6635.26
speech,6635.26,6640.9800000000005
speech,6640.9800000000005,6645.34
speech,6645.34,6647.28
speech,6647.28,6649.54
speech,6649.54,6652.360000000001
speech,6652.360000000001,6657.8
speech,6657.8,6660.16
speech,6660.16,6661.860000000001
speech,6661.860000000001,6662.84
speech,6662.84,6664.9800000000005
speech,6664.9800000000005,6667.1
speech,6667.1,6668.78
speech,6668.78,6674.42
speech,6674.42,6679.64
speech,6679.64,6682.6
speech,6682.6,6687.8
speech,6687.8,6689.9400000000005
speech,6689.9400000000005,6692.54
speech,6692.54,6694.22
speech,6694.22,6695.02
speech,6695.02,6696.28
speech,6696.28,6697.4800000000005
speech,6697.4800000000005,6698.900000000001
speech,6698.900000000001,6700.8
speech,6700.8,6704.78
speech,6704.78,6708.3
speech,6708.3,6713.06
speech,6713.06,6716.18
speech,6716.18,6718.46
speech,6718.46,6722.14
speech,6722.14,6725.4800000000005
speech,6725.4800000000005,6727.14
speech,6727.14,6728.900000000001
speech,6728.900000000001,6730.46
speech,6730.46,6731.54
speech,6731.54,6734.0
music,6734.0,6966.64
music,6966.64,6975.26
speech,6975.26,6976.9400000000005
speech,6976.9400000000005,6991.74
speech,6991.74,6998.42
speech,6998.42,7006.28
music,7006.28,7020.8
speech,7020.8,7024.8
speech,7024.8,7030.66
music,7030.66,7033.56
speech,7033.56,7045.28
music,7045.28,7059.82
speech,7059.82,7063.62
music,7063.62,7084.8
speech,7084.8,7104.16
music,7104.16,7118.3
speech,7118.3,7121.82
music,7121.82,7147.8
speech,7147.8,7164.82
music,7164.82,7176.56
speech,7176.56,7180.56
music,7180.56,7184.58
music,7184.58,7204.96
speech,7204.96,7206.04
