labels	start	stop
speech	0.0	5.1000000000000005
noEnergy	5.1000000000000005	5.48
speech	5.48	10.76
music	10.76	12.1
noEnergy	12.1	14.36
music	14.36	43.06
speech	43.06	45.36
music	45.36	47.62
speech	47.62	57.96
music	57.96	59.7
speech	59.7	64.28
music	64.28	65.98
speech	65.98	71.04
music	71.04	77.92
speech	77.92	87.3
music	87.3	89.28
speech	89.28	110.46000000000001
music	110.46000000000001	124.68
speech	124.68	132.74
music	132.74	134.08
speech	134.08	143.98
music	143.98	146.36
speech	146.36	151.64000000000001
music	151.64000000000001	159.48
noEnergy	159.48	159.96
music	159.96	161.48
noEnergy	161.48	161.94
music	161.94	163.46
noEnergy	163.46	163.92000000000002
music	163.92000000000002	165.5
noEnergy	165.5	165.88
music	165.88	294.40000000000003
noEnergy	294.40000000000003	295.0
speech	295.0	296.32
noEnergy	296.32	297.24
speech	297.24	303.02
noEnergy	303.02	303.76
speech	303.76	304.12
noEnergy	304.12	305.24
speech	305.24	307.76
noEnergy	307.76	308.78000000000003
speech	308.78000000000003	309.96
noEnergy	309.96	310.54
speech	310.54	311.40000000000003
noEnergy	311.40000000000003	311.86
speech	311.86	312.88
noEnergy	312.88	314.44
speech	314.44	317.18
noEnergy	317.18	318.02
speech	318.02	318.3
noEnergy	318.3	318.8
speech	318.8	319.7
noEnergy	319.7	320.82
speech	320.82	324.1
noEnergy	324.1	324.90000000000003
speech	324.90000000000003	326.2
noEnergy	326.2	326.96
speech	326.96	328.1
noEnergy	328.1	328.64
speech	328.64	331.26
noEnergy	331.26	332.28000000000003
speech	332.28000000000003	333.5
noEnergy	333.5	334.78000000000003
speech	334.78000000000003	335.56
noEnergy	335.56	335.96
speech	335.96	343.90000000000003
noEnergy	343.90000000000003	344.48
speech	344.48	355.58
noEnergy	355.58	355.96
speech	355.96	361.92
music	361.92	365.44
speech	365.44	378.78000000000003
music	378.78000000000003	396.2
speech	396.2	415.56
noEnergy	415.56	415.98
speech	415.98	435.32
noEnergy	435.32	436.6
speech	436.6	456.0
music	456.0	464.6
speech	464.6	473.96000000000004
music	473.96000000000004	475.74
speech	475.74	495.72
noEnergy	495.72	496.18
music	496.18	647.04
noEnergy	647.04	648.54
music	648.54	845.6
speech	845.6	847.3000000000001
noEnergy	847.3000000000001	848.0
speech	848.0	848.9200000000001
noEnergy	848.9200000000001	850.72
speech	850.72	852.28
noEnergy	852.28	853.08
speech	853.08	855.3000000000001
noEnergy	855.3000000000001	856.6
speech	856.6	860.22
noEnergy	860.22	860.9
speech	860.9	863.08
noEnergy	863.08	864.16
speech	864.16	868.66
noEnergy	868.66	870.82
speech	870.82	872.2
noEnergy	872.2	873.76
speech	873.76	876.4200000000001
noEnergy	876.4200000000001	877.74
speech	877.74	878.1
noEnergy	878.1	878.54
speech	878.54	881.1800000000001
noEnergy	881.1800000000001	883.78
speech	883.78	886.2
noEnergy	886.2	886.74
speech	886.74	889.3000000000001
noEnergy	889.3000000000001	890.76
speech	890.76	893.14
noEnergy	893.14	893.64
speech	893.64	895.2
noEnergy	895.2	896.0
speech	896.0	897.9
noEnergy	897.9	898.9200000000001
speech	898.9200000000001	902.14
noEnergy	902.14	903.74
speech	903.74	905.84
noEnergy	905.84	906.3000000000001
speech	906.3000000000001	908.46
noEnergy	908.46	909.14
speech	909.14	912.54
noEnergy	912.54	913.9
speech	913.9	914.8000000000001
noEnergy	914.8000000000001	915.38
speech	915.38	916.78
noEnergy	916.78	917.54
speech	917.54	918.72
noEnergy	918.72	919.62
speech	919.62	921.32
noEnergy	921.32	922.48
speech	922.48	923.86
noEnergy	923.86	925.44
speech	925.44	928.08
noEnergy	928.08	929.4200000000001
speech	929.4200000000001	930.78
noEnergy	930.78	931.6
speech	931.6	933.52
noEnergy	933.52	934.26
speech	934.26	935.62
noEnergy	935.62	936.94
speech	936.94	938.62
noEnergy	938.62	939.48
speech	939.48	941.2
noEnergy	941.2	941.82
speech	941.82	944.2
noEnergy	944.2	944.7
speech	944.7	946.1800000000001
noEnergy	946.1800000000001	946.76
speech	946.76	948.66
noEnergy	948.66	950.5
speech	950.5	951.48
noEnergy	951.48	952.3000000000001
speech	952.3000000000001	952.88
noEnergy	952.88	953.9200000000001
speech	953.9200000000001	955.52
noEnergy	955.52	956.0
speech	956.0	958.4
noEnergy	958.4	958.78
speech	958.78	960.02
noEnergy	960.02	960.44
speech	960.44	960.8000000000001
noEnergy	960.8000000000001	961.44
speech	961.44	964.28
noEnergy	964.28	965.82
speech	965.82	968.24
noEnergy	968.24	968.6800000000001
speech	968.6800000000001	969.38
noEnergy	969.38	970.4200000000001
speech	970.4200000000001	971.04
noEnergy	971.04	971.84
speech	971.84	972.4
noEnergy	972.4	972.94
music	972.94	1210.22
noEnergy	1210.22	1211.14
music	1211.14	1459.98
speech	1459.98	1462.74
noEnergy	1462.74	1463.42
speech	1463.42	1465.3
noEnergy	1465.3	1466.1000000000001
speech	1466.1000000000001	1469.16
noEnergy	1469.16	1469.8600000000001
speech	1469.8600000000001	1471.6200000000001
noEnergy	1471.6200000000001	1472.1000000000001
speech	1472.1000000000001	1472.54
noEnergy	1472.54	1473.02
speech	1473.02	1474.64
noEnergy	1474.64	1475.44
speech	1475.44	1475.8
noEnergy	1475.8	1477.74
speech	1477.74	1478.78
noEnergy	1478.78	1479.48
speech	1479.48	1482.92
noEnergy	1482.92	1483.9
speech	1483.9	1484.56
noEnergy	1484.56	1485.84
speech	1485.84	1488.82
noEnergy	1488.82	1491.04
speech	1491.04	1493.76
noEnergy	1493.76	1495.54
speech	1495.54	1497.0
noEnergy	1497.0	1497.54
speech	1497.54	1498.04
noEnergy	1498.04	1499.16
speech	1499.16	1500.52
noEnergy	1500.52	1501.22
speech	1501.22	1502.4
noEnergy	1502.4	1502.98
speech	1502.98	1505.3600000000001
noEnergy	1505.3600000000001	1505.76
speech	1505.76	1509.32
noEnergy	1509.32	1509.76
speech	1509.76	1510.88
noEnergy	1510.88	1511.3600000000001
speech	1511.3600000000001	1512.22
noEnergy	1512.22	1512.96
speech	1512.96	1514.84
noEnergy	1514.84	1515.32
speech	1515.32	1516.8600000000001
noEnergy	1516.8600000000001	1517.4
speech	1517.4	1517.8600000000001
noEnergy	1517.8600000000001	1518.5
speech	1518.5	1520.34
noEnergy	1520.34	1523.38
speech	1523.38	1526.94
noEnergy	1526.94	1527.88
speech	1527.88	1531.16
noEnergy	1531.16	1532.28
speech	1532.28	1534.68
noEnergy	1534.68	1535.58
speech	1535.58	1536.1200000000001
noEnergy	1536.1200000000001	1537.3600000000001
speech	1537.3600000000001	1540.42
noEnergy	1540.42	1541.4
speech	1541.4	1546.16
noEnergy	1546.16	1548.68
speech	1548.68	1550.88
noEnergy	1550.88	1551.52
speech	1551.52	1553.98
noEnergy	1553.98	1555.56
music	1555.56	1719.98
noEnergy	1719.98	1721.44
music	1721.44	1724.38
noEnergy	1724.38	1725.28
music	1725.28	1745.76
speech	1745.76	1749.72
music	1749.72	1751.8400000000001
noEnergy	1751.8400000000001	1752.42
speech	1752.42	1765.1000000000001
music	1765.1000000000001	1785.26
speech	1785.26	1805.32
noEnergy	1805.32	1805.78
music	1805.78	1809.38
noEnergy	1809.38	1811.3
music	1811.3	1815.3400000000001
speech	1815.3400000000001	1871.1000000000001
noEnergy	1871.1000000000001	1871.8400000000001
music	1871.8400000000001	1877.46
noEnergy	1877.46	1879.0
music	1879.0	1896.28
speech	1896.28	1897.8600000000001
music	1897.8600000000001	2154.7
speech	2154.7	2156.2400000000002
music	2156.2400000000002	2157.58
speech	2157.58	2162.86
noEnergy	2162.86	2163.46
speech	2163.46	2165.94
noEnergy	2165.94	2167.3
speech	2167.3	2169.2
noEnergy	2169.2	2171.2
speech	2171.2	2173.7400000000002
noEnergy	2173.7400000000002	2176.2400000000002
speech	2176.2400000000002	2176.98
noEnergy	2176.98	2178.02
speech	2178.02	2181.34
noEnergy	2181.34	2182.2200000000003
speech	2182.2200000000003	2185.16
noEnergy	2185.16	2186.04
speech	2186.04	2187.36
noEnergy	2187.36	2188.92
speech	2188.92	2193.8
noEnergy	2193.8	2194.32
speech	2194.32	2195.02
noEnergy	2195.02	2195.8
speech	2195.8	2200.36
noEnergy	2200.36	2201.2200000000003
speech	2201.2200000000003	2204.12
noEnergy	2204.12	2204.54
speech	2204.54	2205.06
noEnergy	2205.06	2205.56
speech	2205.56	2206.48
noEnergy	2206.48	2208.02
speech	2208.02	2209.32
noEnergy	2209.32	2210.5
speech	2210.5	2211.58
noEnergy	2211.58	2212.3
speech	2212.3	2213.82
noEnergy	2213.82	2215.48
speech	2215.48	2217.78
noEnergy	2217.78	2219.38
speech	2219.38	2221.42
noEnergy	2221.42	2221.98
speech	2221.98	2223.48
noEnergy	2223.48	2225.68
speech	2225.68	2227.06
noEnergy	2227.06	2227.88
speech	2227.88	2229.92
noEnergy	2229.92	2230.48
speech	2230.48	2231.82
noEnergy	2231.82	2233.04
speech	2233.04	2234.06
noEnergy	2234.06	2234.86
speech	2234.86	2237.3
noEnergy	2237.3	2240.78
speech	2240.78	2241.56
noEnergy	2241.56	2241.96
speech	2241.96	2242.84
noEnergy	2242.84	2243.68
speech	2243.68	2245.46
noEnergy	2245.46	2247.08
music	2247.08	2692.68
noEnergy	2692.68	2694.48
speech	2694.48	2697.3
noEnergy	2697.3	2697.98
speech	2697.98	2698.44
noEnergy	2698.44	2698.94
speech	2698.94	2699.36
noEnergy	2699.36	2700.18
speech	2700.18	2701.3
noEnergy	2701.3	2701.98
speech	2701.98	2704.86
noEnergy	2704.86	2706.8
speech	2706.8	2707.7000000000003
noEnergy	2707.7000000000003	2709.36
speech	2709.36	2710.48
noEnergy	2710.48	2712.16
speech	2712.16	2713.98
noEnergy	2713.98	2715.68
speech	2715.68	2716.58
noEnergy	2716.58	2717.26
speech	2717.26	2718.34
noEnergy	2718.34	2719.8
speech	2719.8	2721.66
noEnergy	2721.66	2723.08
speech	2723.08	2727.32
noEnergy	2727.32	2728.2400000000002
speech	2728.2400000000002	2729.78
noEnergy	2729.78	2731.26
speech	2731.26	2731.64
noEnergy	2731.64	2733.9
speech	2733.9	2736.56
noEnergy	2736.56	2737.86
speech	2737.86	2739.0
noEnergy	2739.0	2739.5
speech	2739.5	2740.2400000000002
noEnergy	2740.2400000000002	2741.8
speech	2741.8	2743.76
noEnergy	2743.76	2744.2000000000003
speech	2744.2000000000003	2751.98
noEnergy	2751.98	2753.7400000000002
speech	2753.7400000000002	2754.82
noEnergy	2754.82	2755.58
speech	2755.58	2759.26
noEnergy	2759.26	2759.96
speech	2759.96	2761.98
noEnergy	2761.98	2762.86
speech	2762.86	2764.6
noEnergy	2764.6	2765.48
speech	2765.48	2767.12
noEnergy	2767.12	2767.98
speech	2767.98	2769.44
noEnergy	2769.44	2770.0
speech	2770.0	2770.94
noEnergy	2770.94	2771.84
music	2771.84	3038.34
noEnergy	3038.34	3039.2200000000003
speech	3039.2200000000003	3066.1
noEnergy	3066.1	3067.1
speech	3067.1	3098.86
noEnergy	3098.86	3099.26
speech	3099.26	3103.88
music	3103.88	3112.4
speech	3112.4	3118.1
noEnergy	3118.1	3118.5
speech	3118.5	3141.28
music	3141.28	3150.98
speech	3150.98	3157.52
music	3157.52	3158.62
noEnergy	3158.62	3159.4
speech	3159.4	3179.06
noEnergy	3179.06	3180.14
music	3180.14	3185.4
speech	3185.4	3188.2400000000002
noEnergy	3188.2400000000002	3188.88
speech	3188.88	3194.06
music	3194.06	3366.94
noEnergy	3366.94	3368.16
speech	3368.16	3371.02
noEnergy	3371.02	3371.78
speech	3371.78	3411.94
music	3411.94	3414.64
speech	3414.64	3419.7400000000002
music	3419.7400000000002	3427.08
noEnergy	3427.08	3427.78
speech	3427.78	3430.7000000000003
music	3430.7000000000003	3433.6
noEnergy	3433.6	3435.2400000000002
speech	3435.2400000000002	3444.94
noEnergy	3444.94	3445.42
music	3445.42	3484.84
speech	3484.84	3504.2000000000003
noEnergy	3504.2000000000003	3504.6800000000003
music	3504.6800000000003	3536.56
speech	3536.56	3540.62
music	3540.62	3544.58
noEnergy	3544.58	3545.34
speech	3545.34	3564.86
noEnergy	3564.86	3565.36
music	3565.36	3605.14
speech	3605.14	3610.28
music	3610.28	3612.04
noEnergy	3612.04	3614.2200000000003
music	3614.2200000000003	3634.04
speech	3634.04	3641.52
music	3641.52	3647.1800000000003
speech	3647.1800000000003	3650.1
music	3650.1	3651.78
speech	3651.78	3653.98
music	3653.98	3660.38
speech	3660.38	3661.6800000000003
music	3661.6800000000003	3663.6800000000003
speech	3663.6800000000003	3668.0
music	3668.0	3670.2400000000002
speech	3670.2400000000002	3675.04
music	3675.04	3677.42
speech	3677.42	3683.1800000000003
music	3683.1800000000003	3684.08
speech	3684.08	3686.6
music	3686.6	3726.7000000000003
noEnergy	3726.7000000000003	3727.32
music	3727.32	3861.6
noEnergy	3861.6	3862.3
speech	3862.3	3867.16
noEnergy	3867.16	3867.82
speech	3867.82	3869.4
noEnergy	3869.4	3869.96
speech	3869.96	3874.2400000000002
noEnergy	3874.2400000000002	3875.2000000000003
speech	3875.2000000000003	3879.34
noEnergy	3879.34	3879.84
speech	3879.84	3881.7200000000003
noEnergy	3881.7200000000003	3882.46
speech	3882.46	3883.26
noEnergy	3883.26	3883.92
speech	3883.92	3885.78
noEnergy	3885.78	3886.46
speech	3886.46	3887.76
noEnergy	3887.76	3888.6800000000003
speech	3888.6800000000003	3889.2200000000003
noEnergy	3889.2200000000003	3889.82
speech	3889.82	3890.96
noEnergy	3890.96	3891.42
speech	3891.42	3894.7000000000003
noEnergy	3894.7000000000003	3895.3
speech	3895.3	3898.4
noEnergy	3898.4	3899.2400000000002
speech	3899.2400000000002	3901.4
noEnergy	3901.4	3901.84
speech	3901.84	3902.36
noEnergy	3902.36	3902.98
speech	3902.98	3903.48
noEnergy	3903.48	3904.2200000000003
speech	3904.2200000000003	3907.88
